2026-05-26T15:01:27.575787 | YF | PE: 35.04 | VAL: 29481.64 | DD: 0.00% | REC: 定投 200 元
2026-05-26T15:05:38.377191 | YF | PE: 35.04 | VAL: 29481.64 | DD: 0.00% | REC: 定投 200 元
2026-05-26T15:43:27.216787 | YF | PE: 35.04 | VAL: 29481.64 | DD: 0.33% | REC: 定投 200 元
2026-05-26T15:44:47.004464 | YF | PE: 35.04 | VAL: 29481.64 | DD: 0.33% | REC: 定投 200 元
2026-05-26T16:19:47.548009 | YF | PE: 35.04 | VAL: 29481.64 | DD: 0.33% | REC: 定投 200 元
2026-05-26T16:20:05.373370 | YF | PE: 35.04 | VAL: 29481.64 | DD: 0.33% | REC: 定投 200 元
2026-05-26T16:20:22.375367 | YF | PE: 35.04 | VAL: 29481.64 | DD: 0.33% | REC: 定投 200 元
2026-05-26T16:23:37.967980 | YF | PE: 35.04 | VAL: 29481.64 | DD: 0.66% | REC: 定投 200 元
2026-05-26T16:23:44.462700 | YF | PE: 35.04 | VAL: 29481.64 | DD: 0.66% | REC: 定投 200 元
2026-05-26T16:33:43.689993 | YF | PE: 35.00 | VAL: 29481.64 | DD: 0.66% | REC: 定投 200 元
2026-05-27T09:25:55.091047 | YF | PE: 35.62 | VAL: 30001.32 | DD: 0.14% | REC: 定投 200 元
2026-05-27T09:26:28.996264 | YF | PE: 35.62 | VAL: 30001.32 | DD: 0.14% | REC: 定投 200 元
2026-05-27T13:53:20.441666 | YF | PE: 35.62 | VAL: 30001.32 | DD: 0.14% | REC: 定投 200 元
2026-06-11T19:28:32.693374 | YF | PE: 30.96 | VAL: 28508.03 | DD: 7.33% | REC: 定投 200 元
